job_title,job_category,job_type,career_level,posted_date,industries,qualifications,summary,job_description,years_experience,education,hard_skills,soft_skills,skill_count,all_skills,job_url,company_name,company_url,location
cairo cabin crew opportunities dubai based relocation provided,IT,Full-time,Associate,2 weeks ago,Airlines and Aviation and Hospitality,"here are some other things we look for in our cabin crew: you ve had more than a year s experience in hospitality/customer service you have a positive attitude and the natural ability to provide excellent service in a team environment, dealing with people from many cultures your minimum qualification is high school graduate grade 12 you need to be fluent in written and spoken english ability to speak another language is an advantage you re at least 160cm tall and can reach 212 cm while standing on tiptoes, to enable you to reach emergency equipment on all aircraft types no visible tattoos while you re in emirates cabin crew uniform without covering them with bandages or cosmetics before clicking the apply button, please keep the following documents ready to submit with your application: recent cv in english recent photo salary benefits your pay is made up of three components: a fixed basic salary, an hourly pay for operated flights and an overseas meal allowance. basic salary aed 4,980 / month, flying pay aed 69.60 / hour based on avg. 80 100 hours / month, average total pay aed 11,244 / month usd 3,100, eur 2,600 or gbp 2,280 these are approximate numbers for grade ii economy class . meal allowances for night stops are credited to the salary in arrears the following month. hotel accommodation as well as transport to and from the airport is provided by the company.","job purpose a personality that shines, the ability to adapt to any situation and make people feel at ease. these are a few of the qualities we re looking for in our cabin crew. as the face of emirates, you ll be the person customers turn to for help and direction when they fly with us, so you need to be friendly, observant and able to provide the right support. being a member of the cabin crew is so much more than a service role safety is our highest priority. you ll need to lead confidently and take control when it comes to managing aircraft services, security, and safety procedures. this comes from the world class learning experience our crew receive at our state of the art facility in dubai.","job purpose a personality that shines, the ability to adapt to any situation and make people feel at ease. these are a few of the qualities we re looking for in our cabin crew. as the face of emirates, you ll be the person customers turn to for help and direction when they fly with us, so you need to be friendly, observant and able to provide the right support. being a member of the cabin crew is so much more than a service role safety is our highest priority. you ll need to lead confidently and take control when it comes to managing aircraft services, security, and safety procedures. this comes from the world class learning experience our crew receive at our state of the art facility in dubai. here are some other things we look for in our cabin crew: you ve had more than a year s experience in hospitality/customer service you have a positive attitude and the natural ability to provide excellent service in a team environment, dealing with people from many cultures your minimum qualification is high school graduate grade 12 you need to be fluent in written and spoken english ability to speak another language is an advantage you re at least 160cm tall and can reach 212 cm while standing on tiptoes, to enable you to reach emergency equipment on all aircraft types no visible tattoos while you re in emirates cabin crew uniform without covering them with bandages or cosmetics before clicking the apply button, please keep the following documents ready to submit with your application: recent cv in english recent photo salary benefits your pay is made up of three components: a fixed basic salary, an hourly pay for operated flights and an overseas meal allowance. basic salary aed 4,980 / month, flying pay aed 69.60 / hour based on avg. 80 100 hours / month, average total pay aed 11,244 / month usd 3,100, eur 2,600 or gbp 2,280 these are approximate numbers for grade ii economy class . meal allowances for night stops are credited to the salary in arrears the following month. hotel accommodation as well as transport to and from the airport is provided by the company.",0,high school,"['english', 'excel', 'it support', 'written spoken english', 'filing']","['positive attitude', 'learning', 'support', 'customer service']",9,"['english', 'excel', 'it support', 'written spoken english', 'filing', 'positive attitude', 'learning', 'support', 'customer service']",https://www.linkedin.com/jobs/view/cairo-cabin-crew-opportunities-dubai-based-relocation-provided-at-emirates-4324714410?skipRedirect=true&locale=en_US,Emirates,https://ae.linkedin.com/company/emirates?trk=public_jobs_topcard-org-name,"Cairo, Egypt"
receptionist,Administrative,Full-time,Entry level,1 week ago,Financial Services,"not less than 3 years of previous experience as a receptionist. good communication. organizer. multitasking. good command of english language. problem solving. benefits embark on an exciting journey with the fin tech experts. join a workplace that actively encourages and supports all talents. a support system where you have a safe place to voice your opinion, share feedback, and be your true authentic self. join us in our mission to accelerate financial inclusion and make financial freedom accessible to all.","welcome guests and candidates, answering screening phone calls, and addressing complaints. handling the pos payments expenses and employees handling and organizing the booking of the meeting room, ensuring everything runs smoothly without any conflict. helping in coordinating outdoor events and meetings. greet visitors and candidates carefully to make the greatest positive impact and lasting impression for them. organize the booking of meeting rooms and outdoor events.to ensure everything runs smoothly without any conflict. facilitate pos payments for employee s expenses to assist all staff members in paying their invoices. take care of complaints by returning all incoming calls, whether from overseas or domestically, to resolve them. make sure every shipment arrives by using the system's shipping traces to stay up to date on the status of shipments","welcome guests and candidates, answering screening phone calls, and addressing complaints. handling the pos payments expenses and employees handling and organizing the booking of the meeting room, ensuring everything runs smoothly without any conflict. helping in coordinating outdoor events and meetings. greet visitors and candidates carefully to make the greatest positive impact and lasting impression for them. organize the booking of meeting rooms and outdoor events.to ensure everything runs smoothly without any conflict. facilitate pos payments for employee s expenses to assist all staff members in paying their invoices. take care of complaints by returning all incoming calls, whether from overseas or domestically, to resolve them. make sure every shipment arrives by using the system's shipping traces to stay up to date on the status of shipments not less than 3 years of previous experience as a receptionist. good communication. organizer. multitasking. good command of english language. problem solving. benefits embark on an exciting journey with the fin tech experts. join a workplace that actively encourages and supports all talents. a support system where you have a safe place to voice your opinion, share feedback, and be your true authentic self. join us in our mission to accelerate financial inclusion and make financial freedom accessible to all.",3,mba,"['erp system', 'pos system', 'it support', 'english']","['problem solving', 'support', 'communication', 'multitasking']",8,"['erp system', 'pos system', 'it support', 'english', 'problem solving', 'support', 'communication', 'multitasking']",https://www.linkedin.com/jobs/view/receptionist-at-al-ahly-momkn-4334585015?skipRedirect=true&locale=en_US,Al Ahly Momkn,https://eg.linkedin.com/company/alahlymomknfore-payments?trk=public_jobs_topcard-org-name,"Qesm El Maadi, Cairo, Egypt"
future leaders program   marketing,Marketing,Full-time,Entry level,4 days ago,Food and Beverage Manufacturing,"participants benefit from a rich variety of structured training, individual mentoring, and opportunities to experience different aspects of the business. join us for an opportunity that will advance you in every way. we are committed to providing you with the opportunities, challenges and recognition that will allow you discovering your full potential in a dynamic and team oriented environment. this 36 months program is designed to develop beyti future leaders in the marketing track. qualifica tions bachelor's degree in business administration newly graduates: only graduates of 2023, 2024 2025. grade: minimum grade of ""very good"" or equivalent gpa previous internship experience is a must good command of ms office excel power point fluent english written and spoken",beyti is looking for young graduates and early career professionals to join its future leaders program that will start on december 2025.,"beyti is looking for young graduates and early career professionals to join its future leaders program that will start on december 2025. participants benefit from a rich variety of structured training, individual mentoring, and opportunities to experience different aspects of the business. join us for an opportunity that will advance you in every way. we are committed to providing you with the opportunities, challenges and recognition that will allow you discovering your full potential in a dynamic and team oriented environment. this 36 months program is designed to develop beyti future leaders in the marketing track. qualifica tions bachelor's degree in business administration newly graduates: only graduates of 2023, 2024 2025. grade: minimum grade of ""very good"" or equivalent gpa previous internship experience is a must good command of ms office excel power point fluent english written and spoken",0,bachelor,"['english', 'excel', 'powerpoint', 'm office']","['mentoring', 'leadership']",6,"['english', 'excel', 'powerpoint', 'm office', 'mentoring', 'leadership']",https://www.linkedin.com/jobs/view/future-leaders-program-2025-marketing-at-beyti-an-almarai-subsidiary-4339681310?skipRedirect=true&locale=en_US,Beyti - an Almarai Subsidiary,https://eg.linkedin.com/company/beyti-an-almarai-subsidiary?trk=public_jobs_topcard-org-name,"Cairo, Egypt"
account manager  key accounts,Finance,Full-time,Entry level,3 weeks ago,Food and Beverage Services,"bachelor's degree in business administration, or any related field. from 0 2 years of proven experience in sales, preferably within the fmcg sector.","job purpose responsible for managing relationships with designated accounts, ensuring sales growth, and maximizing market share by implementing company strategies and maintaining a high standard of customer service key accountabilities manage day to day sales activities and relationships with assigned retail accounts. maintain a physical presence in the field daily to reinforce the account strategy, in store execution adherence to agreements. monitor and achieve sales targets, ensuring growth and profitability. implement promotional activities and in store merchandising strategies. ensure product availability and correct placement in stores. analyze sales data and provide feedback to senior management on market trends. handle customer complaints and provide solutions to ensure client satisfaction. coordinate with logistics to ensure timely delivery of products","job purpose responsible for managing relationships with designated accounts, ensuring sales growth, and maximizing market share by implementing company strategies and maintaining a high standard of customer service key accountabilities manage day to day sales activities and relationships with assigned retail accounts. maintain a physical presence in the field daily to reinforce the account strategy, in store execution adherence to agreements. monitor and achieve sales targets, ensuring growth and profitability. implement promotional activities and in store merchandising strategies. ensure product availability and correct placement in stores. analyze sales data and provide feedback to senior management on market trends. handle customer complaints and provide solutions to ensure client satisfaction. coordinate with logistics to ensure timely delivery of products bachelor's degree in business administration, or any related field. from 0 2 years of proven experience in sales, preferably within the fmcg sector.",2,bachelor,"['merchandising', 'accounting']","['time management', 'customer service']",4,"['merchandising', 'accounting', 'time management', 'customer service']",https://www.linkedin.com/jobs/view/account-manager-key-accounts-at-juhayna-food-industries-4314316866?skipRedirect=true&locale=en_US,Juhayna Food Industries,https://eg.linkedin.com/company/juhayna-food-industries?trk=public_jobs_topcard-org-name,"Giza, Al Jizah, Egypt"
area sales manager,Sales,Full-time,Mid-Senior level,6 days ago,"Manufacturing, Dairy Product Manufacturing, and Food and Beverage Services","responsible for communicating volume forecasts and leading the execution of the business plans to deliver them. takes a proactive leadership role in selling to customers, anticipating, and resolving emerging problems. ensure annual evaluations are conducted at 100 of the function employees. role model collaboration and team building to demonstrate to employees the culture the company wants to build. identifies key development people and can provide accelerated training and development to such candidates. conduct annual appraisals with direct reports using the hr tools for building capability within the region. submit reports concerning: sales /volume and net revenue targets for the region market share trade kpis objectives sku's distribution, product visibility route kpis, productivity, positive calls, success rate, drop size, etc. what you will bring to the role bachelor s degree in business or any equivalent. from 10 years of experience. 5 years of experience in the same role with fmcg company. good command of english language execute and operationalize a business strategy ability to effectively deal with people of diverse background","job description: who we are for over three decades, juhayna food industries has been a pioneer in egypt s dairy and juice sector, producing, processing, and packaging milk, yoghurt, cooking products, juices, and concentrates. since 1983, we have built trusted household brands, expanding our presence across egypt and the middle east through a commitment to high quality, safe, and healthy products. today, with four state of the art plants, a vast distribution network reaching over 136,000 outlets, and a 5,000 feddan dairy farm housing over 7,000 milking cows, juhayna continues to set benchmarks for premium egyptian products. our success stems from our people, who embody the values of integrity, achievement, continuous improvement, innovation, ownership, and positivity. job purpose develop profitable new business and grow existing customer base by selection, coaching, training the territory team sell through others . help the company achieve volume, profit, and superiority in store presence.","job description: who we are for over three decades, juhayna food industries has been a pioneer in egypt s dairy and juice sector, producing, processing, and packaging milk, yoghurt, cooking products, juices, and concentrates. since 1983, we have built trusted household brands, expanding our presence across egypt and the middle east through a commitment to high quality, safe, and healthy products. today, with four state of the art plants, a vast distribution network reaching over 136,000 outlets, and a 5,000 feddan dairy farm housing over 7,000 milking cows, juhayna continues to set benchmarks for premium egyptian products. our success stems from our people, who embody the values of integrity, achievement, continuous improvement, innovation, ownership, and positivity. job purpose develop profitable new business and grow existing customer base by selection, coaching, training the territory team sell through others . help the company achieve volume, profit, and superiority in store presence. responsible for communicating volume forecasts and leading the execution of the business plans to deliver them. takes a proactive leadership role in selling to customers, anticipating, and resolving emerging problems. ensure annual evaluations are conducted at 100 of the function employees. role model collaboration and team building to demonstrate to employees the culture the company wants to build. identifies key development people and can provide accelerated training and development to such candidates. conduct annual appraisals with direct reports using the hr tools for building capability within the region. submit reports concerning: sales /volume and net revenue targets for the region market share trade kpis objectives sku's distribution, product visibility route kpis, productivity, positive calls, success rate, drop size, etc. what you will bring to the role bachelor s degree in business or any equivalent. from 10 years of experience. 5 years of experience in the same role with fmcg company. good command of english language execute and operationalize a business strategy ability to effectively deal with people of diverse background",10,bachelor,"['english', 'filing']","['collaboration', 'proactivity', 'coaching', 'communication', 'leadership']",7,"['english', 'filing', 'collaboration', 'proactivity', 'coaching', 'communication', 'leadership']",https://www.linkedin.com/jobs/view/area-sales-manager-at-juhayna-food-industries-4321602454?skipRedirect=true&locale=en_US,Juhayna Food Industries,https://eg.linkedin.com/company/juhayna-food-industries?trk=public_jobs_topcard-org-name,"Sawhāj, Suhaj, Egypt"
financial controller  operations,Finance,Full-time,Mid-Senior level,3 days ago,Food and Beverage Manufacturing and Dairy Product Manufacturing,"support internal and external audits related to plant operations and inventory. partner with operations and engineering teams to assess capital expenditure capex projects, roi, and post implementation reviews. lead the plant budgeting and forecasting process, including standard cost, overhead recovery, and inventory valuation projections. bachelor s degree in accounting, finance, or related field; cpa / cma / mba preferred. minimum 12 years of progressive finance experience, with at least 5 years in a manufacturing or plant environment. strong knowledge of cost accounting principles. experience supporting supply chain and operations functions, including procurement, logistics, and production planning. proficient in erp systems sap, oracle, etc.",," support internal and external audits related to plant operations and inventory. partner with operations and engineering teams to assess capital expenditure capex projects, roi, and post implementation reviews. lead the plant budgeting and forecasting process, including standard cost, overhead recovery, and inventory valuation projections. bachelor s degree in accounting, finance, or related field; cpa / cma / mba preferred. minimum 12 years of progressive finance experience, with at least 5 years in a manufacturing or plant environment. strong knowledge of cost accounting principles. experience supporting supply chain and operations functions, including procurement, logistics, and production planning. proficient in erp systems sap, oracle, etc.",12,bachelor,"['erp system', 'budgeting', 'oracle', 'cost accounting', 'it support', 'engineering', 'forecasting', 'pos system', 'cpa', 'sap', 'cma', 'accounting']",['support'],13,"['erp system', 'budgeting', 'oracle', 'cost accounting', 'it support', 'engineering', 'forecasting', 'pos system', 'cpa', 'sap', 'cma', 'accounting', 'support']",https://www.linkedin.com/jobs/view/financial-controller-%E2%80%93-operations-at-beyti-an-almarai-subsidiary-4339962767?skipRedirect=true&locale=en_US,Beyti - an Almarai Subsidiary,https://eg.linkedin.com/company/beyti-an-almarai-subsidiary?trk=public_jobs_topcard-org-name,"Alexandria, Egypt"
hr operations supervisor,Human Resources,Full-time,Mid-Senior level,3 days ago,Financial Services,"liaise with governmental bodies like the labor and social insurance offices. ensure compliance with labor laws, company policies, and industry regulations across all hr operational activities. manage employment contracts, probation reviews, contract renewal process, and documentation compliance. employee data management: oversee the accuracy, confidentiality, and integrity of employee data across hr system and database. manage employee records lifecycle, including creation, updates, archival"" physical digital"", and deletion in compliance with data protection regulations. ensure timely and accurate updates to employee information such as promotions, transfers, status changes, and personal details. conduct regular audits of employee data to identify discrepancies and ensure compliance with internal policies and external regulations. support data driven decision making by providing clean, structured, and reliable employee data for analytics and reporting. social, medical life insurance: manage handle the administration of the medical insurance program, including approvals, refunds, monthly chronic cases, complaints, critical cases and claims. manage the administration of the life insurance program. manage handle the renewal process for the medical life insurance. supervise the social insurance process such as forms 1, 2, 6, title change requests, etc. . review the social insurance monthly statement transaction before payment process. team leadership: lead and coach a team of hr operations specialists/seniors/ team leader. monitor performance, provide feedback, and support career development of the team. process improvement projects: identify opportunities to streamline and automate hr processes, reducing manual work and improving efficiency. partner with the stakeholders to implement process enhancements and system upgrades. lead or participate in hr projects such as policy reviews, audits, or employee experience initiatives. reporting analytics: generate and analyze hr reports headcount, attrition, demographics, e.g. to support hr decision making. monitor hr slas, kpis, and service delivery quality for the hr operations team. bachelor s degree in business administration or a related field. 6 years of experience in hr operations. solid understanding of social insurance and labor laws. ability to manage multiple priorities and lead process improvements. problem solving mindset with a focus on operational excellence. good command of english. proficient in ms office. benefits embark on an exciting journey with the fin tech experts. join a workplace that actively encourages and supports all talents. a support system where you have a safe place to voice your opinion, share feedback, and be your true authentic self. join us in our mission to accelerate financial inclusion and make financial freedom accessible to all.","a subsidiary of al ahly capital, al ahly momkn is a fast evolving fin tech company committed to promoting secure, convenient seamless payment solutions and financial services for business owners, service providers and consumers across egypt. at al ahly momkn, we foster a culture of innovation, collaboration, and personal growth. we believe in empowering our employees to unleash their full potential and make a real impact in their roles. as part of our team, you'll have the opportunity to work on exciting projects, learn from industry experts, and be part of a supportive and inclusive community. hr operations management: supervise and coordinate the end to end hr administrative processes including employee lifecycle onboarding, offboarding, internal transfer, status change, etc. in a timely and accurate manner. resolve employee issues effectively and ensure timely support.","a subsidiary of al ahly capital, al ahly momkn is a fast evolving fin tech company committed to promoting secure, convenient seamless payment solutions and financial services for business owners, service providers and consumers across egypt. at al ahly momkn, we foster a culture of innovation, collaboration, and personal growth. we believe in empowering our employees to unleash their full potential and make a real impact in their roles. as part of our team, you'll have the opportunity to work on exciting projects, learn from industry experts, and be part of a supportive and inclusive community. hr operations management: supervise and coordinate the end to end hr administrative processes including employee lifecycle onboarding, offboarding, internal transfer, status change, etc. in a timely and accurate manner. resolve employee issues effectively and ensure timely support. liaise with governmental bodies like the labor and social insurance offices. ensure compliance with labor laws, company policies, and industry regulations across all hr operational activities. manage employment contracts, probation reviews, contract renewal process, and documentation compliance. employee data management: oversee the accuracy, confidentiality, and integrity of employee data across hr system and database. manage employee records lifecycle, including creation, updates, archival"" physical digital"", and deletion in compliance with data protection regulations. ensure timely and accurate updates to employee information such as promotions, transfers, status changes, and personal details. conduct regular audits of employee data to identify discrepancies and ensure compliance with internal policies and external regulations. support data driven decision making by providing clean, structured, and reliable employee data for analytics and reporting. social, medical life insurance: manage handle the administration of the medical insurance program, including approvals, refunds, monthly chronic cases, complaints, critical cases and claims. manage the administration of the life insurance program. manage handle the renewal process for the medical life insurance. supervise the social insurance process such as forms 1, 2, 6, title change requests, etc. . review the social insurance monthly statement transaction before payment process. team leadership: lead and coach a team of hr operations specialists/seniors/ team leader. monitor performance, provide feedback, and support career development of the team. process improvement projects: identify opportunities to streamline and automate hr processes, reducing manual work and improving efficiency. partner with the stakeholders to implement process enhancements and system upgrades. lead or participate in hr projects such as policy reviews, audits, or employee experience initiatives. reporting analytics: generate and analyze hr reports headcount, attrition, demographics, e.g. to support hr decision making. monitor hr slas, kpis, and service delivery quality for the hr operations team. bachelor s degree in business administration or a related field. 6 years of experience in hr operations. solid understanding of social insurance and labor laws. ability to manage multiple priorities and lead process improvements. problem solving mindset with a focus on operational excellence. good command of english. proficient in ms office. benefits embark on an exciting journey with the fin tech experts. join a workplace that actively encourages and supports all talents. a support system where you have a safe place to voice your opinion, share feedback, and be your true authentic self. join us in our mission to accelerate financial inclusion and make financial freedom accessible to all.",6,bachelor,"['erp system', 'english', 'excel', 'data management', 'programming', 'database', 'it support', 'pos system', 'reporting', 'm office']","['problem solving', 'collaboration', 'accuracy', 'time management', 'support', 'leadership']",16,"['erp system', 'english', 'excel', 'data management', 'programming', 'database', 'it support', 'pos system', 'reporting', 'm office', 'problem solving', 'collaboration', 'accuracy', 'time management', 'support', 'leadership']",https://www.linkedin.com/jobs/view/hr-operations-supervisor-at-al-ahly-momkn-4321825432?skipRedirect=true&locale=en_US,Al Ahly Momkn,https://eg.linkedin.com/company/alahlymomknfore-payments?trk=public_jobs_topcard-org-name,"Cairo, Cairo, Egypt"
assistant team leader  accounts receivable  modern trade,Administrative,Full-time,Associate,3 weeks ago,"Food and Beverage Services, Financial Services, and Food and Beverage Manufacturing","prepare and send customer monthly statements of accounts. prepare and send customer balance confirmations on quarterly annual basis. work closely with the sales and collections teams to resolve outstanding receivables and ensure clearing the collections on time. assist in the month end closing process by ensuring all ar entries / contract clauses are accrued correctly are accurate and complete. strong knowledge with eta process and cycle and validate sent/received invoices. maintain accurate and up to date ar aging reports and ensure that over dues are communicated and collected on time. support external audits with necessary documentation and explanations. support in weekly monthly reports sent to account managers other internal stakeholders. understand and apply basic tax concepts relevant to ar processes e.g., vat, withholding . what you will bring to the role bachelor s degree of business or any equivalent. from 1 to 3 years of experience. sap background would be preferable. proficient in microsoft excel. ability to work independently and take ownership of tasks. dedicated, dependable, and a proactive problem solver.","who we are for over three decades, juhayna food industries has been a pioneer in egypt s dairy and juice sector, producing, processing, and packaging milk, yoghurt, cooking products, juices, and concentrates. since 1983, we have built trusted household brands, expanding our presence across egypt and the middle east through a commitment to high quality, safe, and healthy products. today, with four state of the art plants, a vast distribution network reaching over 136,000 outlets, and a 5,000 feddan dairy farm housing over 7,000 milking cows, juhayna continues to set benchmarks for premium egyptian products. our success stems from our people, who embody the values of integrity, achievement, continuous improvement, innovation, ownership, and positivity. job purpose the assistant team leader accounts receivable modern trade is responsible for supporting the effective management and collection of receivables from modern trade partners, ensuring timely cash flow and minimizing financial risk. this role assists in supporting the ar team, monitoring account reconciliations, resolving discrepancies, and maintaining strong relationships with key customers. the position contributes to achieving the company s financial objectives by ensuring accurate reporting, compliance with internal policies, and continuous process improvement within the ar function.","who we are for over three decades, juhayna food industries has been a pioneer in egypt s dairy and juice sector, producing, processing, and packaging milk, yoghurt, cooking products, juices, and concentrates. since 1983, we have built trusted household brands, expanding our presence across egypt and the middle east through a commitment to high quality, safe, and healthy products. today, with four state of the art plants, a vast distribution network reaching over 136,000 outlets, and a 5,000 feddan dairy farm housing over 7,000 milking cows, juhayna continues to set benchmarks for premium egyptian products. our success stems from our people, who embody the values of integrity, achievement, continuous improvement, innovation, ownership, and positivity. job purpose the assistant team leader accounts receivable modern trade is responsible for supporting the effective management and collection of receivables from modern trade partners, ensuring timely cash flow and minimizing financial risk. this role assists in supporting the ar team, monitoring account reconciliations, resolving discrepancies, and maintaining strong relationships with key customers. the position contributes to achieving the company s financial objectives by ensuring accurate reporting, compliance with internal policies, and continuous process improvement within the ar function. prepare and send customer monthly statements of accounts. prepare and send customer balance confirmations on quarterly annual basis. work closely with the sales and collections teams to resolve outstanding receivables and ensure clearing the collections on time. assist in the month end closing process by ensuring all ar entries / contract clauses are accrued correctly are accurate and complete. strong knowledge with eta process and cycle and validate sent/received invoices. maintain accurate and up to date ar aging reports and ensure that over dues are communicated and collected on time. support external audits with necessary documentation and explanations. support in weekly monthly reports sent to account managers other internal stakeholders. understand and apply basic tax concepts relevant to ar processes e.g., vat, withholding . what you will bring to the role bachelor s degree of business or any equivalent. from 1 to 3 years of experience. sap background would be preferable. proficient in microsoft excel. ability to work independently and take ownership of tasks. dedicated, dependable, and a proactive problem solver.",3,bachelor,"['excel', 'data management', 'account manager', 'it support', 'filing', 'account receivable', 'sap', 'reporting']","['time management', 'learning', 'support', 'problem solving']",12,"['excel', 'data management', 'account manager', 'it support', 'filing', 'account receivable', 'sap', 'reporting', 'time management', 'learning', 'support', 'problem solving']",https://www.linkedin.com/jobs/view/assistant-team-leader-accounts-receivable-modern-trade-at-juhayna-food-industries-4315938263?skipRedirect=true&locale=en_US,Juhayna Food Industries,https://eg.linkedin.com/company/juhayna-food-industries?trk=public_jobs_topcard-org-name,"El Sheikh Zaid, Al Jizah, Egypt"
sales account manager,Finance,Full-time,Mid-Senior level,4 days ago,Financial Services,,sales account manager with below criteria and conditions on business development department gov sector . title : sales account manager years of experience : from 3 5 years relevance: sales specially on education or gov sector / fintech having a car: is a must,sales account manager with below criteria and conditions on business development department gov sector . title : sales account manager years of experience : from 3 5 years relevance: sales specially on education or gov sector / fintech having a car: is a must ,5,not specified,"['account manager', 'sap']",[],2,"['account manager', 'sap']",https://www.linkedin.com/jobs/view/sales-account-manager-at-al-ahly-momkn-4321467241?skipRedirect=true&locale=en_US,Al Ahly Momkn,https://eg.linkedin.com/company/alahlymomknfore-payments?trk=public_jobs_topcard-org-name,"Qesm El Maadi, Cairo, Egypt"
manager  administration  facility management,Administrative,Full-time,Mid-Senior level,3 weeks ago,Food and Beverage Services,"lead and manage the central maintenance and coolers teams, overseeing building and equipment maintenance projects from planning to execution, including budgeting, scheduling, quality control, and coordination with contractors and service providers. ensure optimal performance through effective outsourcing management, cost efficiency, and regular team performance evaluation. oversee and monitor departmental budgets, expenditures, and performance reports, ensuring alignment with corporate financial objectives. coordinate with the fleet department to maintain uninterrupted fleet operations and prevent downtime. supervise facility services across branches, ensuring proper alignment and efficiency in transportation, housekeeping, and waste management. manage lease agreements for rented branches, including rent renewals, reallocation, and contract negotiations when required. supervise and support facility teams across branches, conducting regular follow ups, site visits, and performance evaluations to ensure service quality and compliance with company standards. what you will bring to the role bachelor s degree in business administration, engineering or a related field. proven experience in budgeting, project management, and vendor management. ability to travel regularly between locations. experience: minimum of 7 10 years of experience in facilities or operations management, preferably in multi site environments.","job description: who we are for over three decades, juhayna food industries has been a pioneer in egypt s dairy and juice sector, producing, processing, and packaging milk, yoghurt, cooking products, juices, and concentrates. since 1983, we have built trusted household brands, expanding our presence across egypt and the middle east through a commitment to high quality, safe, and healthy products. today, with four state of the art plants, a vast distribution network reaching over 136,000 outlets, and a 5,000 feddan dairy farm housing over 7,000 milking cows, juhayna continues to set benchmarks for premium egyptian products. our success stems from our people, who embody the values of integrity, achievement, continuous improvement, innovation, ownership, and positivity. job purpose the facility manager is responsible for overseeing all facility operations across multiple locations, ensuring full compliance with local regulations, operational efficiency, and optimal working conditions. the role involves managing maintenance, services, budgets, and teams to guarantee smooth daily operations and continuous improvement of facility standards. as well as maintaining positive work relationships with all stakeholders and creating a climate of trust, consideration, and mutual respect.","job description: who we are for over three decades, juhayna food industries has been a pioneer in egypt s dairy and juice sector, producing, processing, and packaging milk, yoghurt, cooking products, juices, and concentrates. since 1983, we have built trusted household brands, expanding our presence across egypt and the middle east through a commitment to high quality, safe, and healthy products. today, with four state of the art plants, a vast distribution network reaching over 136,000 outlets, and a 5,000 feddan dairy farm housing over 7,000 milking cows, juhayna continues to set benchmarks for premium egyptian products. our success stems from our people, who embody the values of integrity, achievement, continuous improvement, innovation, ownership, and positivity. job purpose the facility manager is responsible for overseeing all facility operations across multiple locations, ensuring full compliance with local regulations, operational efficiency, and optimal working conditions. the role involves managing maintenance, services, budgets, and teams to guarantee smooth daily operations and continuous improvement of facility standards. as well as maintaining positive work relationships with all stakeholders and creating a climate of trust, consideration, and mutual respect. lead and manage the central maintenance and coolers teams, overseeing building and equipment maintenance projects from planning to execution, including budgeting, scheduling, quality control, and coordination with contractors and service providers. ensure optimal performance through effective outsourcing management, cost efficiency, and regular team performance evaluation. oversee and monitor departmental budgets, expenditures, and performance reports, ensuring alignment with corporate financial objectives. coordinate with the fleet department to maintain uninterrupted fleet operations and prevent downtime. supervise facility services across branches, ensuring proper alignment and efficiency in transportation, housekeeping, and waste management. manage lease agreements for rented branches, including rent renewals, reallocation, and contract negotiations when required. supervise and support facility teams across branches, conducting regular follow ups, site visits, and performance evaluations to ensure service quality and compliance with company standards. what you will bring to the role bachelor s degree in business administration, engineering or a related field. proven experience in budgeting, project management, and vendor management. ability to travel regularly between locations. experience: minimum of 7 10 years of experience in facilities or operations management, preferably in multi site environments.",10,bachelor,"['budgeting', 'data management', 'it support', 'engineering', 'filing']","['time management', 'support']",7,"['budgeting', 'data management', 'it support', 'engineering', 'filing', 'time management', 'support']",https://www.linkedin.com/jobs/view/manager-administration-facility-management-at-juhayna-food-industries-4316415369?skipRedirect=true&locale=en_US,Juhayna Food Industries,https://eg.linkedin.com/company/juhayna-food-industries?trk=public_jobs_topcard-org-name,"Cairo, Cairo, Egypt"
